airline_code,flight_number,departure_code,arrival_code,departure_time,arrival_time,period_start,period_end,remarks,is_active
JAL,212,SHM,TYO,09:30:00,10:35:00,2026-01-06,2026-02-28,,true
JAL,214,SHM,TYO,13:50:00,14:55:00,2026-01-06,2026-02-28,,true
JAL,218,SHM,TYO,18:20:00,19:30:00,2026-01-06,2026-02-28,,true
JAL,213,TYO,SHM,07:35:00,08:50:00,2026-01-06,2026-02-28,,true
JAL,215,TYO,SHM,11:45:00,13:00:00,2026-01-06,2026-02-28,,true
JAL,219,TYO,SHM,16:20:00,17:35:00,2026-01-06,2026-02-28,,true
JAL,573,HND,OBO,07:45:00,09:25:00,2026-01-06,2026-02-28,,true
JAL,575,HND,OBO,11:00:00,12:35:00,2026-01-06,2026-02-28,,true
JAL,577,HND,OBO,14:05:00,15:40:00,2026-01-06,2026-02-28,,true
JAL,579,HND,OBO,17:30:00,19:10:00,2026-01-06,2026-02-28,,true
JAL,570,OBO,HND,10:15:00,12:00:00,2026-01-06,2026-02-28,1月6～31日5分遅発,true
JAL,572,OBO,HND,13:15:00,15:05:00,2026-01-06,2026-02-28,,true
JAL,574,OBO,HND,16:15:00,18:05:00,2026-01-06,2026-02-28,,true
JAL,576,OBO,HND,19:55:00,21:40:00,2026-01-06,2026-02-28,,true
JAL,4390,FUK,NKM,15:25:00,16:45:00,2026-01-06,2026-02-28,,true
JAL,4392,FUK,NKM,18:50:00,20:10:00,2026-01-06,2026-02-28,,true
JAL,4394,FUK,NKM,20:00:00,21:20:00,2026-01-06,2026-02-28,,true
JAL,4383,NKM,FUK,08:00:00,09:35:00,2026-01-06,2026-02-28,,true
JAL,4385,NKM,FUK,11:20:00,12:55:00,2026-01-06,2026-02-28,,true
JAL,4393,NKM,FUK,19:45:00,21:20:00,2026-01-06,2026-02-28,,true
JAL,623,HND,KMJ,06:30:00,08:25:00,2026-01-06,2026-02-28,,true
JAL,625,HND,KMJ,08:05:00,10:00:00,2026-01-06,2026-02-28,,true
JAL,627,HND,KMJ,10:05:00,12:00:00,2026-01-06,2026-02-28,,true
JAL,629,HND,KMJ,11:30:00,13:25:00,2026-01-06,2026-02-28,,true
JAL,631,HND,KMJ,13:15:00,15:05:00,2026-01-06,2026-02-28,,true
JAL,633,HND,KMJ,15:05:00,16:55:00,2026-01-06,2026-02-28,,true
JAL,637,HND,KMJ,17:45:00,19:45:00,2026-01-06,2026-02-28,,true
JAL,639,HND,KMJ,19:00:00,20:55:00,2026-01-06,2026-02-28,,true
JAL,622,KMJ,HND,07:35:00,09:10:00,2026-01-06,2026-02-28,,true
JAL,624,KMJ,HND,09:15:00,10:45:00,2026-01-06,2026-02-28,,true
JAL,626,KMJ,HND,10:40:00,12:10:00,2026-01-06,2026-02-28,,true
JAL,628,KMJ,HND,12:50:00,14:20:00,2026-01-06,2026-02-28,,true
JAL,630,KMJ,HND,14:05:00,15:35:00,2026-01-06,2026-02-28,1月6～31日10分遅発,true
JAL,632,KMJ,HND,15:50:00,17:25:00,2026-01-06,2026-02-28,,true
JAL,634,KMJ,HND,17:40:00,19:15:00,2026-01-06,2026-02-28,,true
JAL,638,KMJ,HND,20:25:00,21:55:00,2026-01-06,2026-02-28,,true
JAL,2172,AXT,ITM,09:50:00,11:20:00,2026-01-06,2026-02-28,,true
JAL,2174,AXT,ITM,13:45:00,15:15:00,2026-01-06,2026-02-28,,true
JAL,2176,AXT,ITM,18:15:00,19:45:00,2026-01-06,2026-02-28,,true
JAL,2171,ITM,AXT,08:00:00,09:20:00,2026-01-06,2026-02-28,,true
JAL,2173,ITM,AXT,12:00:00,13:15:00,2026-01-06,2026-02-28,,true
JAL,2179,ITM,AXT,16:25:00,17:45:00,2026-01-06,2026-02-28,,true
JAL,3791,KOJ,TKN,07:50:00,09:10:00,2026-01-06,2026-02-28,,true
JAL,3793,KOJ,TKN,08:50:00,09:55:00,2026-01-06,2026-02-28,,true
JAL,3795,KOJ,TKN,13:00:00,14:30:00,2026-01-06,2026-02-28,,true
JAL,3797,KOJ,TKN,16:05:00,17:10:00,2026-01-06,2026-02-28,,true
JAL,3792,TKN,KOJ,10:25:00,11:15:00,2026-01-06,2026-02-28,,true
JAL,3794,TKN,KOJ,15:00:00,16:15:00,2026-01-06,2026-02-28,,true
JAL,3796,TKN,KOJ,17:40:00,18:35:00,2026-01-06,2026-02-28,,true
JAL,3798,TKN,KOJ,19:00:00,20:10:00,2026-01-06,2026-02-28,,true
JAL,232,OKJ,TYO,07:10:00,08:20:00,2026-01-06,2026-02-28,,true
JAL,234,OKJ,TYO,10:15:00,11:25:00,2026-01-06,2026-02-28,,true
JAL,236,OKJ,TYO,12:45:00,13:55:00,2026-01-06,2026-02-28,,true
JAL,240,OKJ,TYO,17:45:00,19:00:00,2026-01-06,2026-02-28,,true
JAL,242,OKJ,TYO,19:40:00,20:50:00,2026-01-06,2026-02-28,,true
JAL,231,TYO,OKJ,08:05:00,09:30:00,2026-01-06,2026-02-28,,true
JAL,233,TYO,OKJ,10:40:00,12:05:00,2026-01-06,2026-02-28,,true
JAL,237,TYO,OKJ,14:40:00,16:00:00,2026-01-06,2026-02-28,,true
JAL,239,TYO,OKJ,17:35:00,19:00:00,2026-01-06,2026-02-28,,true
JAL,241,TYO,OKJ,19:55:00,21:15:00,2026-01-06,2026-02-28,,true
JAL,2180,HNA,OSA,09:10:00,10:45:00,2026-01-06,2026-02-28,1月6～30日5分早発,true
JAL,2182,HNA,OSA,13:10:00,14:40:00,2026-01-06,2026-02-28,,true
JAL,2186,HNA,OSA,15:25:00,17:00:00,2026-01-06,2026-02-28,1月6～30日5分遅発,true
JAL,2190,HNA,OSA,18:35:00,20:15:00,2026-01-06,2026-02-28,1月31日10分遅発,true
JAL,2181,OSA,HNA,07:15:00,08:40:00,2026-01-06,2026-02-28,1月6～30日5分早発,true
JAL,2183,OSA,HNA,11:20:00,12:40:00,2026-01-06,2026-02-28,,true
