departure,arrival,flight_number,departure_time,arrival_time,remarks,period
HND,OKA,JAL 903,07:30,10:20,12月1日～1月5日10分遅着,20251026_20260105
HND,OKA,JAL 905,08:00,10:55,12月1日～1月5日5分遅着,20251026_20260105
HND,OKA,JAL 907,08:30,11:20,12月1日～1月5日10分遅着,20251026_20260105
HND,OKA,JAL 909,09:40,12:40,10月26日～11月30日10分早着,20251026_20260105
HND,OKA,JAL 913,10:30,13:20,12月1日～1月5日10分遅着,20251026_20260105
HND,OKA,JAL 987,11:30,14:20,12月1日～1月5日5分遅着,20251026_20260105
HND,OKA,JAL 915,11:55,14:45,12月1日～1月5日5分遅着,20251026_20260105
HND,OKA,JAL 917,14:15,17:05,12月1日～1月5日5分遅着,20251026_20260105
HND,OKA,JAL 919,15:00,17:45,12月1日～1月5日10分遅着,20251026_20260105
HND,OKA,JAL 921,16:00,18:50,12月1日～1月5日5分遅着,20251026_20260105
HND,OKA,JAL 923,17:15,20:10,12月26日～1月5日5分遅発,20251026_20260105
HND,OKA,JAL 925,20:00,22:50,10月26日～11月30日10分早着,20251026_20260105
HND,OKA,JAL 903,07:30,10:30,,20260106_20260228
HND,OKA,JAL 905,08:00,11:00,,20260106_20260228
HND,OKA,JAL 907,08:30,11:30,,20260106_20260228
HND,OKA,JAL 909,09:40,12:40,,20260106_20260228
HND,OKA,JAL 913,10:30,13:30,,20260106_20260228
HND,OKA,JAL 987,11:30,14:25,,20260106_20260228
HND,OKA,JAL 915,11:55,14:50,,20260106_20260228
HND,OKA,JAL 917,14:30,17:25,,20260106_20260228
HND,OKA,JAL 919,15:00,17:55,,20260106_20260228
HND,OKA,JAL 921,16:00,18:55,,20260106_20260228
HND,OKA,JAL 923,17:20,20:15,,20260106_20260228
HND,OKA,JAL 925,20:00,22:50,,20260106_20260228
HND,OKA,JAL 903,07:20,10:10,,20260301_20260328
HND,OKA,JAL 905,08:00,11:00,,20260301_20260328
HND,OKA,JAL 907,08:30,11:25,,20260301_20260328
HND,OKA,JAL 909,09:40,12:30,,20260301_20260328
HND,OKA,JAL 913,10:30,13:20,,20260301_20260328
HND,OKA,JAL 987,11:30,14:20,,20260301_20260328
HND,OKA,JAL 915,11:55,14:45,,20260301_20260328
HND,OKA,JAL 917,14:15,17:05,3月1～12日15分早発,20260301_20260328
HND,OKA,JAL 919,15:00,17:50,,20260301_20260328
HND,OKA,JAL 921,16:00,18:50,,20260301_20260328
HND,OKA,JAL 923,17:20,20:10,,20260301_20260328
HND,OKA,JAL 925,20:00,22:40,,20260301_20260328
HND,CTS,JAL 503,07:30,09:00,12月1～25日5分遅発,20251026_20260105
HND,CTS,JAL 505,08:05,09:35,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 507,08:55,10:30,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 509,09:55,11:30,12月1日～1月5日5分遅発,20251026_20260105
HND,CTS,JAL 511,10:20,11:55,,20251026_20260105
HND,CTS,JAL 513,11:30,13:05,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 515,12:35,14:10,1月5日5分早発,20251026_20260105
HND,CTS,JAL 517,13:20,14:50,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 519,14:25,15:55,12月1～25日・1月5日5分遅着12月26日～1月4日5分遅発10分遅着,20251026_20260105
HND,CTS,JAL 521,15:30,17:00,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 523,16:50,18:25,12月1日～1月5日5分遅発10分遅着,20251026_20260105
HND,CTS,JAL 525,17:40,19:15,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,CTS,JAL 527,18:30,20:00,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 529,19:45,21:15,12月1日～1月5日5分遅着,20251026_20260105
HND,CTS,JAL 599,20:30,22:10,10月26日～11月30日5分早着,20251026_20260105
HND,CTS,JAL 531,20:40,22:15,,20251026_20260105
HND,CTS,JAL 503,07:30,09:00,,20260106_20260228
HND,CTS,JAL 505,08:05,09:40,,20260106_20260228
HND,CTS,JAL 507,08:55,10:35,,20260106_20260228
HND,CTS,JAL 509,10:00,11:35,,20260106_20260228
HND,CTS,JAL 511,10:20,11:55,,20260106_20260228
HND,CTS,JAL 513,11:30,13:10,,20260106_20260228
HND,CTS,JAL 515,12:30,14:05,,20260106_20260228
HND,CTS,JAL 517,13:15,14:50,1月6～31日5分遅発,20260106_20260228
HND,CTS,JAL 519,14:25,16:00,,20260106_20260228
HND,CTS,JAL 521,15:30,17:05,,20260106_20260228
HND,CTS,JAL 523,16:50,18:30,,20260106_20260228
HND,CTS,JAL 525,17:35,19:15,,20260106_20260228
HND,CTS,JAL 597,17:50,19:30,,20260106_20260228
HND,CTS,JAL 527,18:30,20:05,,20260106_20260228
HND,CTS,JAL 529,19:45,21:20,,20260106_20260228
HND,CTS,JAL 599,20:30,22:10,,20260106_20260228
HND,CTS,JAL 531,20:40,22:15,,20260106_20260228
HND,CTS,JAL 503,07:30,09:00,,20260301_20260328
HND,CTS,JAL 505,08:05,09:40,,20260301_20260328
HND,CTS,JAL 507,08:55,10:30,,20260301_20260328
HND,CTS,JAL 509,09:55,11:30,,20260301_20260328
HND,CTS,JAL 511,10:20,11:55,,20260301_20260328
HND,CTS,JAL 513,11:30,13:10,,20260301_20260328
HND,CTS,JAL 515,12:30,14:05,,20260301_20260328
HND,CTS,JAL 517,13:15,14:50,,20260301_20260328
HND,CTS,JAL 519,14:30,16:05,,20260301_20260328
HND,CTS,JAL 521,15:30,17:05,,20260301_20260328
HND,CTS,JAL 523,16:55,18:35,,20260301_20260328
HND,CTS,JAL 525,17:35,19:15,,20260301_20260328
HND,CTS,JAL 527,18:30,20:05,,20260301_20260328
HND,CTS,JAL 529,19:45,21:20,,20260301_20260328
HND,CTS,JAL 599,20:30,22:10,,20260301_20260328
HND,CTS,JAL 531,20:40,22:15,,20260301_20260328
HND,FUK,JAL 305,07:05,09:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 307,08:00,10:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 309,09:05,11:05,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 311,09:10,11:10,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 313,10:00,12:00,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 315,11:00,13:00,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 317,12:05,14:00,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,FUK,JAL 319,13:00,15:00,,20251026_20260105
HND,FUK,JAL 321,13:45,15:40,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 323,15:10,17:05,12月1日～1月5日5分遅着,20251026_20260105
HND,FUK,JAL 325,15:55,17:55,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
