airline_code,flight_number,departure_code,arrival_code,departure_time,arrival_time,period_start,period_end,remarks,is_active
JAL,101,HND,ITM,06:30:00,07:40:00,2026-03-01,2026-03-28,,true
JAL,103,HND,ITM,07:30:00,08:40:00,2026-03-01,2026-03-28,,true
JAL,107,HND,ITM,08:35:00,09:40:00,2026-03-01,2026-03-28,,true
JAL,111,HND,ITM,09:30:00,10:40:00,2026-03-01,2026-03-28,,true
JAL,113,HND,ITM,10:35:00,11:45:00,2026-03-01,2026-03-28,,true
JAL,115,HND,ITM,11:35:00,12:45:00,2026-03-01,2026-03-28,,true
JAL,117,HND,ITM,12:40:00,13:50:00,2026-03-01,2026-03-28,,true
JAL,119,HND,ITM,13:30:00,14:40:00,2026-03-01,2026-03-28,,true
JAL,121,HND,ITM,14:35:00,15:45:00,2026-03-01,2026-03-28,3月1～12日5分早発,true
JAL,125,HND,ITM,14:40:00,15:50:00,2026-03-01,2026-03-28,3月1～12日5分遅発,true
JAL,127,HND,ITM,16:25:00,17:30:00,2026-03-01,2026-03-28,,true
JAL,131,HND,ITM,17:35:00,18:45:00,2026-03-01,2026-03-28,,true
JAL,133,HND,ITM,18:05:00,19:15:00,2026-03-01,2026-03-28,,true
JAL,137,HND,ITM,18:45:00,20:00:00,2026-03-01,2026-03-28,,true
JAL,139,HND,ITM,18:55:00,20:15:00,2026-03-01,2026-03-28,,true
JAL,102,HND,ITM,07:05:00,08:10:00,2026-03-01,2026-03-28,,true
JAL,104,HND,ITM,07:30:00,08:40:00,2026-03-01,2026-03-28,,true
JAL,106,HND,ITM,08:25:00,09:35:00,2026-03-01,2026-03-28,,true
JAL,110,HND,ITM,09:30:00,10:40:00,2026-03-01,2026-03-28,,true
JAL,112,HND,ITM,10:35:00,11:45:00,2026-03-01,2026-03-28,3月1～12日10分遅発,true
JAL,114,HND,ITM,11:25:00,12:35:00,2026-03-01,2026-03-28,,true
JAL,116,HND,ITM,12:30:00,13:40:00,2026-03-01,2026-03-28,,true
JAL,118,HND,ITM,13:40:00,14:50:00,2026-03-01,2026-03-28,,true
JAL,120,HND,ITM,14:30:00,15:35:00,2026-03-01,2026-03-28,,true
JAL,124,HND,ITM,15:30:00,16:45:00,2026-03-01,2026-03-28,,true
JAL,126,HND,ITM,16:30:00,17:45:00,2026-03-01,2026-03-28,,true
JAL,128,HND,ITM,16:45:00,18:00:00,2026-03-01,2026-03-28,,true
JAL,130,HND,ITM,18:30:00,19:45:00,2026-03-01,2026-03-28,,true
JAL,134,HND,ITM,19:30:00,20:40:00,2026-03-01,2026-03-28,,true
JAL,138,HND,ITM,20:05:00,21:15:00,2026-03-01,2026-03-28,,true
JAL,221,HND,KIX,07:00:00,08:25:00,2026-03-01,2026-03-28,,true
JAL,225,HND,KIX,12:45:00,14:10:00,2026-03-01,2026-03-28,,true
JAL,229,HND,KIX,20:55:00,22:15:00,2026-03-01,2026-03-28,,true
JAL,220,HND,KIX,07:00:00,08:05:00,2026-03-01,2026-03-28,,true
JAL,224,HND,KIX,15:00:00,16:15:00,2026-03-01,2026-03-28,,true
JAL,228,HND,KIX,21:00:00,22:15:00,2026-03-01,2026-03-28,,true
JAL,501,HND,CTS,06:30:00,08:05:00,2026-03-01,2026-03-28,3月1～12日5分早発,true
JAL,503,HND,CTS,07:30:00,09:00:00,2026-03-01,2026-03-28,,true
JAL,505,HND,CTS,08:05:00,09:40:00,2026-03-01,2026-03-28,,true
JAL,507,HND,CTS,08:55:00,10:30:00,2026-03-01,2026-03-28,,true
JAL,509,HND,CTS,09:55:00,11:30:00,2026-03-01,2026-03-28,,true
JAL,511,HND,CTS,10:20:00,11:55:00,2026-03-01,2026-03-28,,true
JAL,513,HND,CTS,11:30:00,13:10:00,2026-03-01,2026-03-28,,true
JAL,515,HND,CTS,12:30:00,14:05:00,2026-03-01,2026-03-28,,true
JAL,517,HND,CTS,13:15:00,14:50:00,2026-03-01,2026-03-28,,true
JAL,519,HND,CTS,14:30:00,16:05:00,2026-03-01,2026-03-28,,true
JAL,521,HND,CTS,15:30:00,17:05:00,2026-03-01,2026-03-28,,true
JAL,523,HND,CTS,16:55:00,18:35:00,2026-03-01,2026-03-28,,true
JAL,525,HND,CTS,17:35:00,19:15:00,2026-03-01,2026-03-28,,true
JAL,527,HND,CTS,18:30:00,20:05:00,2026-03-01,2026-03-28,,true
JAL,529,HND,CTS,19:45:00,21:20:00,2026-03-01,2026-03-28,,true
JAL,599,HND,CTS,20:30:00,22:10:00,2026-03-01,2026-03-28,,true
JAL,531,HND,CTS,20:40:00,22:15:00,2026-03-01,2026-03-28,,true
JAL,590,HND,CTS,07:25:00,09:05:00,2026-03-01,2026-03-28,,true
JAL,500,HND,CTS,07:40:00,09:20:00,2026-03-01,2026-03-28,,true
JAL,502,HND,CTS,08:50:00,10:30:00,2026-03-01,2026-03-28,,true
JAL,504,HND,CTS,10:00:00,11:40:00,2026-03-01,2026-03-28,,true
JAL,506,HND,CTS,10:35:00,12:20:00,2026-03-01,2026-03-28,,true
JAL,508,HND,CTS,11:40:00,13:25:00,2026-03-01,2026-03-28,,true
JAL,510,HND,CTS,12:55:00,14:40:00,2026-03-01,2026-03-28,,true
JAL,512,HND,CTS,14:10:00,15:50:00,2026-03-01,2026-03-28,,true
JAL,514,HND,CTS,15:10:00,16:55:00,2026-03-01,2026-03-28,,true
JAL,516,HND,CTS,15:45:00,17:35:00,2026-03-01,2026-03-28,,true
JAL,518,HND,CTS,17:00:00,18:45:00,2026-03-01,2026-03-28,,true
JAL,520,HND,CTS,17:25:00,19:15:00,2026-03-01,2026-03-28,,true
JAL,522,HND,CTS,18:00:00,19:45:00,2026-03-01,2026-03-28,,true
JAL,524,HND,CTS,19:30:00,21:15:00,2026-03-01,2026-03-28,,true
JAL,526,HND,CTS,20:10:00,21:55:00,2026-03-01,2026-03-28,,true
JAL,528,HND,CTS,21:05:00,22:50:00,2026-03-01,2026-03-28,,true
JAL,530,HND,CTS,21:15:00,23:00:00,2026-03-01,2026-03-28,,true
JAL,201,HND,NGO,08:10:00,09:10:00,2026-03-01,2026-03-28,,true
JAL,209,HND,NGO,19:55:00,21:00:00,2026-03-01,2026-03-28,,true
JAL,202,HND,NGO,07:40:00,08:40:00,2026-03-01,2026-03-28,,true
JAL,208,HND,NGO,21:15:00,22:20:00,2026-03-01,2026-03-28,,true
JAL,303,HND,FUK,06:25:00,08:25:00,2026-03-01,2026-03-28,,true
JAL,305,HND,FUK,07:05:00,09:00:00,2026-03-01,2026-03-28,,true
JAL,307,HND,FUK,08:00:00,10:00:00,2026-03-01,2026-03-28,,true
JAL,309,HND,FUK,09:05:00,11:05:00,2026-03-01,2026-03-28,,true
JAL,311,HND,FUK,09:10:00,11:10:00,2026-03-01,2026-03-28,,true
JAL,313,HND,FUK,10:00:00,12:00:00,2026-03-01,2026-03-28,,true
JAL,315,HND,FUK,11:00:00,13:00:00,2026-03-01,2026-03-28,,true
JAL,317,HND,FUK,12:05:00,14:00:00,2026-03-01,2026-03-28,,true
JAL,319,HND,FUK,13:00:00,15:00:00,2026-03-01,2026-03-28,,true
JAL,321,HND,FUK,13:45:00,15:40:00,2026-03-01,2026-03-28,,true
JAL,323,HND,FUK,15:10:00,17:10:00,2026-03-01,2026-03-28,,true
JAL,325,HND,FUK,15:55:00,17:55:00,2026-03-01,2026-03-28,,true
JAL,327,HND,FUK,16:55:00,19:05:00,2026-03-01,2026-03-28,,true
JAL,329,HND,FUK,17:55:00,20:00:00,2026-03-01,2026-03-28,,true
JAL,331,HND,FUK,18:40:00,20:40:00,2026-03-01,2026-03-28,,true
JAL,333,HND,FUK,19:05:00,21:10:00,2026-03-01,2026-03-28,,true
JAL,335,HND,FUK,19:25:00,21:30:00,2026-03-01,2026-03-28,,true
JAL,300,HND,FUK,07:00:00,08:35:00,2026-03-01,2026-03-28,,true
JAL,302,HND,FUK,07:25:00,09:00:00,2026-03-01,2026-03-28,,true
JAL,304,HND,FUK,08:25:00,10:00:00,2026-03-01,2026-03-28,,true
JAL,306,HND,FUK,09:25:00,11:00:00,2026-03-01,2026-03-28,,true
JAL,308,HND,FUK,10:00:00,11:35:00,2026-03-01,2026-03-28,,true
JAL,310,HND,FUK,11:00:00,12:40:00,2026-03-01,2026-03-28,,true
JAL,312,HND,FUK,12:00:00,13:40:00,2026-03-01,2026-03-28,,true
JAL,314,HND,FUK,13:00:00,14:40:00,2026-03-01,2026-03-28,,true
JAL,316,HND,FUK,14:00:00,15:40:00,2026-03-01,2026-03-28,,true
JAL,318,HND,FUK,14:45:00,16:30:00,2026-03-01,2026-03-28,3月1～12日5分遅発,true
JAL,320,HND,FUK,15:55:00,17:35:00,2026-03-01,2026-03-28,,true
