departure,arrival
HND,NRT
HND,OKD
HND,RIS
HND,SHB
HND,OIR
HND,HNA
HND,SDJ
HND,KIJ
HND,MMJ
HND,FSZ
HND,NKM
HND,UKB
HND,TJH
HND,OKI
HND,TSJ
HND,IKI
HND,FUJ
HND,AXJ
HND,TNE
HND,KUM
HND,KKX
HND,TKN
HND,OKE
HND,RNJ
HND,KTD
HND,MMD
HND,UEO
HND,TRA
HND,OGN
NRT,HND
NRT,KIX
NRT,CTS
NRT,FUK
NRT,OKA
NRT,OKD
NRT,RIS
NRT,MMB
NRT,AKJ
NRT,SHB
NRT,KUH
NRT,OBO
NRT,HKD
NRT,OIR
NRT,AOJ
NRT,MSJ
NRT,AXT
NRT,HNA
NRT,SDJ
NRT,GAJ
NRT,KIJ
NRT,MMJ
NRT,KMQ
NRT,FSZ
NRT,NKM
NRT,UKB
NRT,SHM
NRT,TJH
NRT,OKI
NRT,OKJ
NRT,IZO
NRT,HIJ
NRT,UBJ
NRT,TKS
NRT,TAK
NRT,KCZ
NRT,MYJ
NRT,KKJ
NRT,OIT
NRT,NGS
NRT,TSJ
NRT,IKI
NRT,FUJ
NRT,KMJ
NRT,AXJ
NRT,KMI
NRT,KOJ
NRT,TNE
NRT,KUM
NRT,KKX
NRT,ASJ
NRT,TKN
NRT,OKE
NRT,RNJ
NRT,KTD
NRT,MMD
NRT,UEO
NRT,MMY
NRT,TRA
NRT,ISG
NRT,OGN
ITM,KIX
ITM,OKD
ITM,RIS
ITM,MMB
ITM,AKJ
ITM,SHB
ITM,KUH
ITM,OBO
ITM,OIR
ITM,AOJ
ITM,MSJ
ITM,AXT
ITM,HNA
ITM,SDJ
ITM,GAJ
ITM,KIJ
ITM,MMJ
ITM,KMQ
ITM,FSZ
ITM,NGO
ITM,NKM
ITM,UKB
ITM,SHM
ITM,TJH
ITM,OKJ
ITM,IZO
ITM,HIJ
ITM,UBJ
ITM,TKS
ITM,TAK
ITM,KCZ
ITM,MYJ
ITM,KKJ
ITM,OIT
ITM,NGS
ITM,TSJ
ITM,IKI
ITM,FUJ
ITM,KMJ
ITM,AXJ
ITM,KMI
ITM,KOJ
ITM,TNE
ITM,KKX
ITM,ASJ
ITM,TKN
ITM,OKE
ITM,RNJ
ITM,KTD
ITM,MMD
ITM,UEO
ITM,MMY
ITM,TRA
ITM,ISG
ITM,OGN
KIX,HND
KIX,NRT
KIX,ITM
KIX,CTS
KIX,FUK
KIX,OKA
KIX,OKD
KIX,RIS
KIX,MMB
KIX,AKJ
KIX,SHB
KIX,KUH
KIX,OBO
KIX,HKD
KIX,OIR
KIX,AOJ
KIX,MSJ
KIX,AXT
KIX,HNA
KIX,SDJ
KIX,GAJ
KIX,KIJ
KIX,MMJ
KIX,KMQ
KIX,FSZ
KIX,NGO
KIX,NKM
KIX,UKB
KIX,SHM
KIX,TJH
KIX,OKI
KIX,OKJ
KIX,IZO
KIX,HIJ
KIX,UBJ
KIX,TKS
KIX,TAK
KIX,KCZ
KIX,MYJ
KIX,KKJ
KIX,OIT
KIX,NGS
KIX,TSJ
KIX,IKI
KIX,FUJ
KIX,KMJ
KIX,AXJ
KIX,KMI
KIX,KOJ
KIX,TNE
KIX,KUM
KIX,KKX
KIX,ASJ
KIX,TKN
KIX,OKE
KIX,RNJ
KIX,KTD
KIX,MMD
KIX,UEO
KIX,MMY
KIX,TRA
KIX,ISG
KIX,OGN
CTS,NRT
CTS,KIX
CTS,OKA
