departure_code,arrival_code,distance_miles
AOJ,HND,358
HND,AOJ,358
AXT,OKD,238
OKD,AXT,238
GAJ,HND,190
HND,GAJ,190
HKD,OKD,90
OKD,HKD,90
ITM,OKI,165
OKI,ITM,165
ITM,TJH,68
TJH,ITM,68
IZO,HND,405
HND,IZO,405
IZO,OKI,65
OKI,IZO,65
KIX,MMY,906
MMY,KIX,906
KKX,KOJ,246
KOJ,KKX,246
KMJ,HND,568
HND,KMJ,568
KMJ,ITM,290
ITM,KMJ,290
KMQ,HND,211
HND,KMQ,211
KMQ,OKA,873
OKA,KMQ,873
KOJ,HND,601
HND,KOJ,601
KOJ,ITM,329
ITM,KOJ,329
KOJ,KUM,102
KUM,KOJ,102
KOJ,OKE,326
OKE,KOJ,326
KOJ,RNJ,358
RNJ,KOJ,358
KOJ,TKN,296
TKN,KOJ,296
KOJ,TNE,88
TNE,KOJ,88
KTD,OKA,229
OKA,KTD,229
KUH,HND,555
HND,KUH,555
KUH,OKD,136
OKD,KUH,136
MMB,HND,609
HND,MMB,609
MMB,OKD,148
OKD,MMB,148
MMD,OKA,225
OKA,MMD,225
MMY,TRA,39
TRA,MMY,39
MSJ,OKD,156
OKD,MSJ,156
MYJ,HND,438
HND,MYJ,438
MYJ,ITM,159
ITM,MYJ,159
NGS,HND,610
HND,NGS,610
NGS,ITM,330
ITM,NGS,330
NGS,TSJ,98
TSJ,NGS,98
OBO,HND,526
HND,OBO,526
OGN,OKA,316
OKA,OGN,316
OIT,HND,499
HND,OIT,499
OKA,ASJ,199
ASJ,OKA,199
OKA,OKE,107
OKE,OKA,107
OKA,OKJ,690
OKJ,OKA,690
OKA,RNJ,74
RNJ,OKA,74
OKA,UEO,59
UEO,OKA,59
OKD,RIS,159
RIS,OKD,159
OKD,SHB,178
SHB,OKD,178
OKE,TKN,30
TKN,OKE,30
OKJ,HND,356
HND,OKJ,356
SDJ,CTS,335
CTS,SDJ,335
SDJ,ITM,396
ITM,SDJ,396
TAK,HND,354
HND,TAK,354
TKS,HND,329
HND,TKS,329
UBJ,HND,510
HND,UBJ,510
